model,latent_dim,augmentation,Min Ferret Mean (R²),Max Ferret Mean (R²),Height Mean (R²),Area Mean (R²),Volume Mean (R²)
attention_unet,8,False,-0.2637,-0.2541,-0.3335,-0.1576,-0.0996
attention_unet,8,True,-0.2155,-0.2321,-0.3753,-0.1661,0.0368
attention_unet,32,False,-0.1742,-0.1525,0.1005,0.1177,0.4915
attention_unet,32,True,-0.2365,-0.1691,-0.1994,-0.0912,0.0602
attention_unet,64,False,-0.2493,-0.2747,-0.3532,-0.1659,0.0195
attention_unet,64,True,-0.3796,-0.3359,-0.4171,-0.3602,-0.0887
autoencoder,8,False,-0.237,-0.1892,-0.264,-0.0922,0.2411
autoencoder,8,True,0.0748,0.199,-0.0422,0.0487,0.4053
autoencoder,32,False,-0.1934,-0.1185,-0.0979,0.073,0.3659
autoencoder,32,True,-0.1958,-0.1793,-0.2212,-0.0776,0.1633
autoencoder,64,False,-0.1608,-0.1049,-0.1015,0.0315,0.1299
autoencoder,64,True,-0.2572,-0.2174,-0.2054,-0.1121,0.2358
bigger_variational_autoencoder,8,False,-0.2654,-0.2967,-0.225,-0.1347,0.4083
bigger_variational_autoencoder,8,True,-0.223,-0.1682,-0.1592,-0.1329,0.2624
bigger_variational_autoencoder,32,False,-0.0093,-0.0001,0.0033,0.0932,0.2749
bigger_variational_autoencoder,32,True,0.0856,0.1092,0.1163,0.1047,0.0986
bigger_variational_autoencoder,64,False,-0.3077,-0.2247,-0.2228,-0.0872,0.2677
bigger_variational_autoencoder,64,True,-0.1727,-0.1874,-0.1538,-0.0457,0.1771
even_smaller_variational_autoencoder,8,False,-0.2428,-0.2322,-0.0668,-0.0413,0.3771
even_smaller_variational_autoencoder,8,True,-0.3476,-0.3202,-0.2878,-0.2682,0.2435
even_smaller_variational_autoencoder,32,False,-0.122,-0.0939,-0.1143,-0.0183,0.1935
even_smaller_variational_autoencoder,32,True,-0.297,-0.3053,-0.2371,-0.0828,0.3573
even_smaller_variational_autoencoder,64,False,-0.2209,-0.228,-0.0886,-0.0659,0.4837
even_smaller_variational_autoencoder,64,True,-0.0652,-0.0389,-0.0059,0.1038,0.318
semi_supervised_vae,8,False,-0.2462,-0.1399,-0.134,-0.0545,0.2908
semi_supervised_vae,8,True,-0.1719,-0.1584,-0.2558,-0.0082,0.3011
semi_supervised_vae,32,False,0.224,0.2067,0.0537,0.1854,0.395
semi_supervised_vae,32,True,-0.0662,-0.0341,0.0517,0.1472,0.3965
semi_supervised_vae,64,False,-0.155,-0.146,-0.0736,0.0778,0.3986
semi_supervised_vae,64,True,-0.2469,-0.1688,-0.1888,-0.0312,0.3985
variational_autoencoder,8,False,-0.1873,-0.1446,0.0001,-0.0329,0.1805
variational_autoencoder,8,True,-0.377,-0.4062,-0.1159,-0.1919,0.2983
variational_autoencoder,32,False,-0.3525,-0.3393,-0.1314,-0.1814,0.2637
variational_autoencoder,32,True,-0.2064,-0.1844,-0.0082,0.1118,0.5934
variational_autoencoder,64,False,-0.2459,-0.2722,-0.3096,-0.1414,0.2917
variational_autoencoder,64,True,-0.2645,-0.1945,-0.1818,-0.0668,0.2492
